32138, the Ville, 坊间画坊, 书画室甲
32148, the Ville, 坊间画坊, 净室甲
32158, the Ville, 坊间画坊, 书画室乙
32168, the Ville, 坊间画坊, 净室乙
32178, the Ville, 坊间画坊, 书画室丙
32188, the Ville, 坊间画坊, 净室丙
32198, the Ville, 坊间画坊, 书画室丁
32139, the Ville, 坊间画坊, 净室丁
32149, the Ville, 坊间画坊, 书画室戊
32159, the Ville, 坊间画坊, 净室戊
32179, the Ville, 坊间画坊, 公共厅堂
32189, the Ville, 坊间画坊, 厨房
32199, the Ville, 乐善坊宅院, 正房
32140, the Ville, 乐善坊宅院, 净室
32150, the Ville, 永宁坊宅院, 正房
32160, the Ville, 永宁坊宅院, 净室
32170, the Ville, 明月阁, 正房
32180, the Ville, 明月阁, 净室
32190, the Ville, 安平坊宅院, 正房
32200, the Ville, 安平坊宅院, 净室
32141, the Ville, 平康坊宅院, 正房
32151, the Ville, 平康坊宅院, 净室
32161, the Ville, 胡姬酒肆, 酒肆大堂
32171, the Ville, 明珠茶馆, 茶室
32181, the Ville, 国子监, 讲堂
32191, the Ville, 国子监, 藏书阁
32201, the Ville, 国子监, 回廊
32142, the Ville, 曲江池畔, 园林
32152, the Ville, 西市布帛铺, 布帛铺
32162, the Ville, 西市药肆, 药铺
32193, the Ville, 崇仁坊宅院, 正房
32203, the Ville, 崇仁坊宅院, 净室
32174, the Ville, 通化坊宅院, 正房
32184, the Ville, 通化坊宅院, 净室
32194, the Ville, 安业坊民居, 正房
32204, the Ville, 安业坊民居, 净室
32172, the Ville, 学子客舍, 学子甲房
32182, the Ville, 学子客舍, 陈子安的厢房
32192, the Ville, 学子客舍, 学子乙房
32202, the Ville, 学子客舍, 学子丙房
32143, the Ville, 学子客舍, 男净室
32153, the Ville, 学子客舍, 女净室
32163, the Ville, 学子客舍, 公共厅堂
32173, the Ville, 学子客舍, 厨房
32183, the Ville, 学子客舍, 庭院
32205, the Ville, 靖恭坊宅院, 厢房甲
32215, the Ville, 靖恭坊宅院, 厢房乙
32225, the Ville, 靖恭坊宅院, 厅堂
32235, the Ville, 靖恭坊宅院, 厨房
32245, the Ville, 靖恭坊宅院, 净室
32255, the Ville, 靖恭坊宅院, 庭院
32265, the Ville, 宣阳坊民居, 主卧
32275, the Ville, 宣阳坊民居, 空厢房
32206, the Ville, 宣阳坊民居, 厅堂
32216, the Ville, 宣阳坊民居, 厨房
32226, the Ville, 宣阳坊民居, 净室
32236, the Ville, 宣阳坊民居, 庭院
32246, the Ville, 林氏宅院, 主卧
32256, the Ville, 林氏宅院, 子女厢房
32266, the Ville, 林氏宅院, 厅堂
32276, the Ville, 林氏宅院, 厨房
32207, the Ville, 林氏宅院, 净室
32217, the Ville, 林氏宅院, 庭院
