32227, the Ville, <all>, 床榻
32237, the Ville, <all>, 书案
32247, the Ville, <all>, 衣橱
32257, the Ville, <all>, 木架
32267, the Ville, <all>, 画架
32277, the Ville, <all>, 铜盆架
32208, the Ville, <all>, 浴桶
32218, the Ville, <all>, 茅坑
32228, the Ville, <all>, 水缸
32238, the Ville, <all>, 食盒柜
32248, the Ville, <all>, 炉子
32258, the Ville, <all>, 灶台
32268, the Ville, <all>, 方桌
32278, the Ville, <all>, 木榻
32209, the Ville, <all>, 琵琶
32219, the Ville, <all>, 唢呐
32229, the Ville, <all>, 酒客席
32239, the Ville, <all>, 酒柜台后
32249, the Ville, <all>, 茶台后
32259, the Ville, <all>, 茶客席
32269, the Ville, <all>, 古琴
32279, the Ville, <all>, 经文木牌
32210, the Ville, <all>, 博弈棋盘
32220, the Ville, <all>, 笔砚台
32230, the Ville, <all>, 账册台
32240, the Ville, <all>, 软榻
32250, the Ville, <all>, 书架
32260, the Ville, <all>, 阅书案
32270, the Ville, <all>, 学子席
32280, the Ville, <all>, 讲台
32211, the Ville, <all>, 药柜后
32221, the Ville, <all>, 食货柜后
32231, the Ville, <all>, 药材架
32241, the Ville, <all>, 食货架
32251, the Ville, <all>, 药柜台
32261, the Ville, <all>, 食货柜台
32271, the Ville, <all>, 布帛架
32281, the Ville, <all>, 布帛柜后
32212, the Ville, <all>, 布帛柜台
32222, the Ville, <all>, 学舍庭院
32232, the Ville, <all>, 庭院花圃
32242, the Ville, <all>, 石凳
32252, the Ville, <all>, 曲江园林
32262, the Ville, <all>, 箜篌
32272, the Ville, <all>, 石锁
32282, the Ville, <all>, 棋盘台
